"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"7899499",0.202073111111112,2.66287477777778,3.03115324422873,0.00317275777284679,0.0125521675078056,-2.29017855409498,"RAB42","RAB42, member RAS oncogene family"
"7899502",-0.314811111111111,4.80986244444444,-3.98591365082116,0.000135484003776482,0.00101565507790788,0.630305656342367,"RNU11","RNA, U11 small nuclear"
"7899504",0.159514888888888,4.94706766666667,2.77461600849006,0.0067070418040106,0.0224747325925756,-2.96645840332586,"GMEB1","glucocorticoid modulatory element binding protein 1"
"7899528",-0.179332666666666,3.70553855555555,-3.25206945564417,0.00160789117375586,0.00734000795306103,-1.66906764152022,"OPRD1","opioid receptor delta 1"
"7899534",-0.314651777777777,5.24026633333333,-4.55002375043175,1.65313094638077e-05,0.00018540884728464,2.61624411201598,"EPB41","erythrocyte membrane protein band 4.1"
"7899562",0.344780888888888,4.696484,3.98004386995468,0.000138361956496151,0.0010348112233387,0.610576636990008,"PTPRU","protein tyrosine phosphatase receptor type U"
"7899615",0.799754444444446,6.47624922222222,6.09802531430437,2.56574099195254e-08,1.03817268936608e-06,8.80748463975762,"SERINC2","serine incorporator 2"
"7899627",0.595609777777777,5.807182,5.34611060042035,6.62594168353194e-07,1.41797116724895e-05,5.684184971346,"TINAGL1","tubulointerstitial nephritis antigen like 1"
"7899654",0.216062222222223,6.79801733333333,4.64906855101283,1.12439942427654e-05,0.000136732464108844,2.98217127430214,"KHDRBS1","KH RNA binding domain containing, signal transduction associated 1"
"7899688",0.230839111111113,6.371686,3.52333279886395,0.000668912491620804,0.00369458429948057,-0.859842192598261,"KPNA6","karyopherin subunit alpha 6"
"7899737",0.169198222222222,6.78713666666666,2.77684274195079,0.0066648915261452,0.0223653090164229,-2.96080277246445,"EIF3I","eukaryotic translation initiation factor 3 subunit I"
"7899774",0.54893488888889,7.39011322222222,5.93726848332238,5.21734684214715e-08,1.85950106155489e-06,8.12434257725377,"HDAC1","histone deacetylase 1"
"7899795",-0.178231555555556,4.97150022222222,-2.99409302407985,0.00354480379641058,0.0136902930834217,-2.39091422936228,NA,NA
"7899797",0.0988708888888876,4.39197233333333,2.6868798061275,0.00857471077642932,0.0271488621852093,-3.18624429793172,"ZBTB8A","zinc finger and BTB domain containing 8A"
"7899797",0.0988708888888876,4.39197233333333,2.6868798061275,0.00857471077642932,0.0271488621852093,-3.18624429793172,"ZBTB8B","zinc finger and BTB domain containing 8B"
"7899829",0.175486888888889,6.29255366666667,3.06536146868829,0.00286177885601156,0.0115515511457212,-2.19630160329979,"S100PBP","S100P binding protein"
"7899841",-0.201276666666666,3.872465,-3.50145700206508,0.000719144885107194,0.00390244242258639,-0.926939695850491,"HPCA","hippocalcin"
"7899851",0.247703777777778,4.22155588888889,4.28828625198002,4.47595274562547e-05,0.000414495770087728,1.67329981589898,"AZIN2","antizyme inhibitor 2"
"7899898",-0.102646,2.22516988888889,-2.41694606969775,0.0176470130239969,0.0473424048870706,-3.82430133801529,"HMGB4","high mobility group box 4"
"7899927",0.339903777777777,3.65881077777778,4.20228671518322,6.16306803114647e-05,0.000538163844179047,1.37143454735384,"GJB4","gap junction protein beta 4"
"7899932",0.278164888888889,2.98148444444444,4.51043758818024,1.92598498066583e-05,0.00020847866669232,2.47135803909754,"GJB3","gap junction protein beta 3"
"7899939",-0.235365777777776,4.55562155555556,-2.99153582534175,0.00357190838390776,0.0137728627133743,-2.39782779947092,"GJA4","gap junction protein alpha 4"
"7899943",0.238339777777778,5.42938211111111,3.27837408328072,0.00147978151425891,0.00687183573549316,-1.59280378848104,"ZMYM1","zinc finger MYM-type containing 1"
"7900009",0.174572444444446,6.36557666666667,2.91318539953615,0.00450126491711926,0.0164027665932646,-2.60730112165196,"AGO4","argonaute RISC component 4"
"7900095",0.274825555555555,5.71824855555556,4.02177864273548,0.000119106181842371,0.000917841044171294,0.751290880769997,"MAP7D1","MAP7 domain containing 1"
"7900129",0.377736,3.93321311111111,5.05494850161154,2.21475057355728e-06,3.65698695096655e-05,4.52999664517244,"SH3D21","SH3 domain containing 21"
"7900146",0.372166666666669,5.68229177777778,4.75959705143067,7.27509312819442e-06,9.57238248431172e-05,3.39615253444794,"ZC3H12A","zinc finger CCCH-type containing 12A"
"7900159",-0.450674666666667,5.09755066666667,-4.54823942080591,1.66457991374831e-05,0.000186186584773344,2.60969645428292,"DNALI1","dynein axonemal light intermediate chain 1"
"7900167",0.243878222222222,3.40202822222222,3.8991753412354,0.000184479303997161,0.00129769323272272,0.340846478545626,"CDCA8","cell division cycle associated 8"
"7900181",-0.0865931111111113,1.92080411111111,-2.4399142860875,0.0166295990479985,0.0452692027267014,-3.77229430567324,NA,NA
